DATE OCC,AREA NAME,Crm Cd Desc,Vict Age,Vict Sex
02/06/2025 12:00:00 AM,Devonshire,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,X
03/01/2025 12:00:00 AM,Southwest,VEHICLE - STOLEN,0,
02/17/2025 12:00:00 AM,Northeast,TRESPASSING,0,X
02/02/2025 12:00:00 AM,Northeast,THEFT PLAIN - PETTY ($950 & UNDER),33,M
02/21/2025 12:00:00 AM,Harbor,BATTERY - SIMPLE ASSAULT,15,F
02/14/2025 12:00:00 AM,Southwest,VEHICLE - STOLEN,0,
02/09/2025 12:00:00 AM,West Valley,TRESPASSING,0,M
01/23/2025 12:00:00 AM,Southwest,VEHICLE - STOLEN,0,
02/05/2025 12:00:00 AM,Southwest,VEHICLE - STOLEN,0,
01/24/2025 12:00:00 AM,Central,CHILD NEGLECT (SEE 300 W.I.C.),4,F
01/16/2025 12:00:00 AM,77th Street,VEHICLE - STOLEN,0,
01/22/2025 12:00:00 AM,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,
02/26/2025 12:00:00 AM,Devonshire,BATTERY - SIMPLE ASSAULT,12,F
01/21/2025 12:00:00 AM,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,
01/24/2025 12:00:00 AM,Harbor,BATTERY - SIMPLE ASSAULT,13,F
02/05/2025 12:00:00 AM,Southwest,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,
02/10/2025 12:00:00 AM,Mission,EXTORTION,13,M
03/19/2025 12:00:00 AM,West LA,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0,X
01/24/2025 12:00:00 AM,Mission,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0,F
01/27/2025 12:00:00 AM,Southwest,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",0,
01/14/2025 12:00:00 AM,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,
01/28/2025 12:00:00 AM,Southwest,VEHICLE - STOLEN,0,
01/15/2025 12:00:00 AM,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,
02/17/2025 12:00:00 AM,Southwest,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",0,
02/07/2025 12:00:00 AM,Devonshire,BURGLARY,0,X
01/29/2025 12:00:00 AM,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,
03/11/2025 12:00:00 AM,Topanga,OTHER MISCELLANEOUS CRIME,0,M
02/22/2025 12:00:00 AM,Southwest,VEHICLE - STOLEN,0,
02/26/2025 12:00:00 AM,Foothill,BURGLARY FROM VEHICLE,40,M
02/06/2025 12:00:00 AM,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,
02/04/2025 12:00:00 AM,Southwest,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",0,
01/24/2025 12:00:00 AM,Hollenbeck,BATTERY - SIMPLE ASSAULT,18,M
02/04/2025 12:00:00 AM,Pacific,VEHICLE - STOLEN,0,
03/18/2025 12:00:00 AM,Southwest,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",0,
03/14/2025 12:00:00 AM,West Valley,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,M
03/26/2025 12:00:00 AM,Southwest,VEHICLE - STOLEN,0,
02/03/2025 12:00:00 AM,Southeast,ARSON,0,X
01/31/2025 12:00:00 AM,Southwest,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",24,X
02/28/2025 12:00:00 AM,Southwest,VEHICLE - STOLEN,0,
03/12/2025 12:00:00 AM,Topanga,CRIMINAL THREATS - NO WEAPON DISPLAYED,51,M
02/11/2025 12:00:00 AM,West Valley,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0,M
01/04/2025 12:00:00 AM,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,
03/12/2025 12:00:00 AM,Topanga,CRIMINAL THREATS - NO WEAPON DISPLAYED,24,M
01/02/2025 12:00:00 AM,West Valley,ILLEGAL DUMPING,0,M
02/12/2025 12:00:00 AM,Mission,VIOLATION OF COURT ORDER,36,M
02/07/2025 12:00:00 AM,Hollenbeck,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",17,M
01/17/2025 12:00:00 AM,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,
02/01/2025 12:00:00 AM,Southwest,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",0,
02/11/2025 12:00:00 AM,Mission,CHILD ANNOYING (17YRS & UNDER),14,F
01/31/2025 12:00:00 AM,Devonshire,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,X
02/25/2025 12:00:00 AM,Harbor,VEHICLE - STOLEN,0,
02/14/2025 12:00:00 AM,Newton,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,
01/27/2025 12:00:00 AM,Southwest,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",0,
02/17/2025 12:00:00 AM,Mission,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",14,M
01/21/2025 12:00:00 AM,77th Street,VEHICLE - STOLEN,0,
01/02/2025 12:00:00 AM,Harbor,VEHICLE - STOLEN,0,
01/27/2025 12:00:00 AM,Southwest,VEHICLE - STOLEN,0,
02/18/2025 12:00:00 AM,Southwest,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",0,
03/16/2025 12:00:00 AM,Harbor,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",0,
02/02/2025 12:00:00 AM,Northeast,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),22,M
03/05/2025 12:00:00 AM,Devonshire,BRANDISH WEAPON,16,M
02/20/2025 12:00:00 AM,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,
03/17/2025 12:00:00 AM,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,
03/15/2025 12:00:00 AM,Hollenbeck,BATTERY - SIMPLE ASSAULT,22,M
02/05/2025 12:00:00 AM,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,
03/26/2025 12:00:00 AM,Topanga,CRIMINAL THREATS - NO WEAPON DISPLAYED,35,M
03/14/2025 12:00:00 AM,West Valley,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",16,M
02/12/2025 12:00:00 AM,Central,OTHER MISCELLANEOUS CRIME,0,M
01/31/2025 12:00:00 AM,Devonshire,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,X
02/06/2025 12:00:00 AM,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,
03/12/2025 12:00:00 AM,Mission,BATTERY - SIMPLE ASSAULT,16,M
03/17/2025 12:00:00 AM,Pacific,ROBBERY,18,M
01/30/2025 12:00:00 AM,Harbor,BATTERY WITH SEXUAL CONTACT,15,F
02/06/2025 12:00:00 AM,Southwest,VEHICLE - STOLEN,0,
01/07/2025 12:00:00 AM,Van Nuys,BATTERY - SIMPLE ASSAULT,17,M
01/15/2025 12:00:00 AM,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,
02/06/2025 12:00:00 AM,Southeast,OTHER MISCELLANEOUS CRIME,0,X
01/31/2025 12:00:00 AM,Southwest,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",0,
03/24/2025 12:00:00 AM,77th Street,ROBBERY,14,M
02/08/2025 12:00:00 AM,Southwest,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",0,
01/13/2025 12:00:00 AM,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,
02/13/2025 12:00:00 AM,Devonshire,BATTERY - SIMPLE ASSAULT,49,M
01/01/2025 12:00:00 AM,77th Street,OTHER MISCELLANEOUS CRIME,0,X
01/02/2025 12:00:00 AM,Foothill,ARSON,29,M
03/05/2025 12:00:00 AM,Devonshire,BRANDISH WEAPON,14,M
03/12/2025 12:00:00 AM,Harbor,VEHICLE - STOLEN,0,
03/12/2025 12:00:00 AM,West Valley,BATTERY - SIMPLE ASSAULT,16,M
02/23/2025 12:00:00 AM,West Valley,VIOLATION OF COURT ORDER,0,M
03/17/2025 12:00:00 AM,Mission,CHILD PORNOGRAPHY,16,F
02/25/2025 12:00:00 AM,Southwest,VEHICLE - STOLEN,0,
03/27/2025 12:00:00 AM,Southwest,VEHICLE - STOLEN,0,
02/09/2025 12:00:00 AM,Northeast,BATTERY - SIMPLE ASSAULT,0,X
01/27/2025 12:00:00 AM,Rampart,CRIMINAL THREATS - NO WEAPON DISPLAYED,70,F
01/22/2025 12:00:00 AM,West LA,CRIMINAL THREATS - NO WEAPON DISPLAYED,0,X
01/31/2025 12:00:00 AM,West LA,BATTERY - SIMPLE ASSAULT,17,F
01/22/2025 12:00:00 AM,Southwest,VEHICLE - STOLEN,0,
03/12/2025 12:00:00 AM,Hollenbeck,CRIMINAL THREATS - NO WEAPON DISPLAYED,11,M
01/24/2025 12:00:00 AM,Southwest,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",0,
02/03/2025 12:00:00 AM,Pacific,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",0,
02/21/2025 12:00:00 AM,Devonshire,BATTERY - SIMPLE ASSAULT,16,F
01/24/2025 12:00:00 AM,Mission,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",36,M
02/28/2025 12:00:00 AM,Devonshire,BATTERY - SIMPLE ASSAULT,14,F
02/06/2025 12:00:00 AM,N Hollywood,CHILD ANNOYING (17YRS & UNDER),14,F
01/21/2025 12:00:00 AM,West LA,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,X
01/10/2025 12:00:00 AM,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,
03/09/2025 12:00:00 AM,Topanga,OTHER MISCELLANEOUS CRIME,35,M
03/06/2025 12:00:00 AM,Southwest,VEHICLE - STOLEN,0,
02/21/2025 12:00:00 AM,Southwest,VEHICLE - STOLEN,0,
02/18/2025 12:00:00 AM,Southwest,VEHICLE - STOLEN,0,
03/09/2025 12:00:00 AM,Southwest,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",0,
02/05/2025 12:00:00 AM,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,
01/24/2025 12:00:00 AM,N Hollywood,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",16,F
