06/05/2024 12:00:00 AM,Harbor,BURGLARY FROM VEHICLE,20,M
06/05/2024 12:00:00 AM,Mission,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),48,M
06/05/2024 12:00:00 AM,N Hollywood,THEFT PLAIN - PETTY ($950 & UNDER),28,M
06/06/2024 12:00:00 AM,Topanga,VEHICLE - STOLEN,0,
06/06/2024 12:00:00 AM,West LA,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),24,F
06/06/2024 12:00:00 AM,Southwest,VEHICLE - STOLEN,0,
06/06/2024 12:00:00 AM,Van Nuys,VEHICLE - STOLEN,0,
06/06/2024 12:00:00 AM,West LA,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),51,F
06/06/2024 12:00:00 AM,Central,TRESPASSING,0,X
06/06/2024 12:00:00 AM,N Hollywood,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0,M
06/06/2024 12:00:00 AM,Van Nuys,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,
06/06/2024 12:00:00 AM,Hollywood,VEHICLE - STOLEN,0,
06/07/2024 12:00:00 AM,Topanga,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",39,F
06/07/2024 12:00:00 AM,Hollywood,BURGLARY FROM VEHICLE,57,M
06/07/2024 12:00:00 AM,Pacific,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",33,F
06/07/2024 12:00:00 AM,Devonshire,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,X
06/07/2024 12:00:00 AM,Pacific,THEFT PLAIN - PETTY ($950 & UNDER),50,F
06/07/2024 12:00:00 AM,Olympic,BURGLARY FROM VEHICLE,30,M
06/07/2024 12:00:00 AM,Hollywood,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",26,M
06/07/2024 12:00:00 AM,77th Street,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,
06/07/2024 12:00:00 AM,Pacific,THEFT OF IDENTITY,34,M
06/07/2024 12:00:00 AM,N Hollywood,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,
06/07/2024 12:00:00 AM,Newton,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",35,M
06/07/2024 12:00:00 AM,77th Street,VEHICLE - STOLEN,0,
06/07/2024 12:00:00 AM,Devonshire,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",37,F
06/07/2024 12:00:00 AM,Olympic,BURGLARY FROM VEHICLE,21,M
06/07/2024 12:00:00 AM,Southeast,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",48,M
06/07/2024 12:00:00 AM,N Hollywood,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),30,M
06/07/2024 12:00:00 AM,Newton,VEHICLE - STOLEN,0,
06/07/2024 12:00:00 AM,Harbor,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0,X
06/07/2024 12:00:00 AM,Central,BURGLARY FROM VEHICLE,50,F
06/08/2024 12:00:00 AM,Central,TRESPASSING,0,M
06/08/2024 12:00:00 AM,Central,TRESPASSING,0,M
06/08/2024 12:00:00 AM,Pacific,VEHICLE - STOLEN,0,
06/08/2024 12:00:00 AM,77th Street,VEHICLE - STOLEN,0,
06/08/2024 12:00:00 AM,Olympic,VEHICLE - STOLEN,0,
06/08/2024 12:00:00 AM,Topanga,THEFT OF IDENTITY,20,F
06/08/2024 12:00:00 AM,West Valley,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",32,F
06/08/2024 12:00:00 AM,Northeast,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0,X
06/08/2024 12:00:00 AM,Rampart,VEHICLE - STOLEN,0,
06/08/2024 12:00:00 AM,Hollywood,THEFT PLAIN - PETTY ($950 & UNDER),33,M
06/08/2024 12:00:00 AM,Central,THEFT OF IDENTITY,24,F
06/09/2024 12:00:00 AM,Central,TRESPASSING,0,X
06/09/2024 12:00:00 AM,Central,TRESPASSING,0,X
06/09/2024 12:00:00 AM,West Valley,BIKE - STOLEN,47,M
06/09/2024 12:00:00 AM,Pacific,THEFT OF IDENTITY,35,M
06/09/2024 12:00:00 AM,Central,TRESPASSING,0,M
06/09/2024 12:00:00 AM,Hollywood,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0,X
06/09/2024 12:00:00 AM,Northeast,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",0,
06/09/2024 12:00:00 AM,Hollywood,PICKPOCKET,32,F
06/09/2024 12:00:00 AM,Central,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",36,F
06/09/2024 12:00:00 AM,Hollywood,PICKPOCKET,25,F
06/09/2024 12:00:00 AM,Northeast,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",42,M
06/09/2024 12:00:00 AM,Hollywood,PICKPOCKET,23,F
06/09/2024 12:00:00 AM,Devonshire,VEHICLE - STOLEN,0,
06/09/2024 12:00:00 AM,West Valley,VEHICLE - STOLEN,0,
06/09/2024 12:00:00 AM,Olympic,BURGLARY FROM VEHICLE,37,M
06/09/2024 12:00:00 AM,Harbor,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",22,M
06/09/2024 12:00:00 AM,N Hollywood,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",46,F
06/09/2024 12:00:00 AM,Topanga,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,
06/09/2024 12:00:00 AM,Devonshire,VEHICLE - STOLEN,0,
06/09/2024 12:00:00 AM,Devonshire,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,X
06/09/2024 12:00:00 AM,Devonshire,BURGLARY FROM VEHICLE,28,F
06/09/2024 12:00:00 AM,Southwest,VEHICLE - STOLEN,0,
06/09/2024 12:00:00 AM,Mission,BATTERY - SIMPLE ASSAULT,33,M
06/09/2024 12:00:00 AM,Mission,VEHICLE - STOLEN,0,
06/09/2024 12:00:00 AM,Southwest,VEHICLE - STOLEN,0,
06/09/2024 12:00:00 AM,Devonshire,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,X
06/09/2024 12:00:00 AM,Topanga,SHOPLIFTING - PETTY THEFT ($950 & UNDER),50,M
06/09/2024 12:00:00 AM,Devonshire,THEFT OF IDENTITY,31,F
06/10/2024 12:00:00 AM,N Hollywood,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0,X
06/10/2024 12:00:00 AM,Southeast,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,X
06/10/2024 12:00:00 AM,Southwest,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),50,M
06/10/2024 12:00:00 AM,Topanga,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,
